Station Code,State,Temperature min,Temperature max,pH min,pH max,Conductivity min,Conductivity max,BOD min,BOD max,Nitrate + Nitrite min,Nitrate + Nitrite max,Fecal Coliform min,Fecal Coliform max,Total Coliform min,Total Coliform max,Year
26,ANDHRA PRADESH,24,24,7.28,7.4,2300,2390,2.2,2.4,3.15,3.77,3,3,11,21,2022
1513,ANDHRA PRADESH,24,24,7.07,7.86,2140,2210,2.2,2.2,1.38,3.42,3,4,13,20,2022
1514,ANDHRA PRADESH,25,25,7.21,7.26,1996,2160,2,2.2,3.61,3.99,3,3,11,15,2022
1516,ANDHRA PRADESH,20,21,7.85,8.06,1270,1340,1.8,2,1.31,1.43,3,3,14,15,2022
1517,ANDHRA PRADESH,21,24,7.2,7.5,2068,6410,1.2,1.2,3.12,6.91,9,9,53,53,2022
1518,ANDHRA PRADESH,23,25,6.5,7.4,6605,8350,1.2,1.2,2.86,33.62,5,5,40,40,2022
1519,ANDHRA PRADESH,25,25,6.5,6.9,1586,1638,,,5.98,9.63,8,8,62,62,2022
1520,ANDHRA PRADESH,24,26,7,7.1,775,873,,,0.62,2.34,2,2,34,34,2022
1521,ANDHRA PRADESH,26,27,7.57,7.71,1783,2370,1.4,2,9.5,10.29,4,4,64,75,2022
1522,ANDHRA PRADESH,22,30,7.23,7.77,742,1658,2.5,2.5,1.22,5.66,3,7,64,93,2022
1523,ANDHRA PRADESH,27,30,7.71,7.88,280,762,2,2,0.82,3.9,3,3,28,39,2022
1524,ANDHRA PRADESH,25,28,7.44,7.9,1080,1235,1.4,1.4,1.33,8.18,3,4,39,120,2022
3087,ANDHRA PRADESH,24,24,7.25,7.78,2102,2413,1.8,2,1.51,1.95,3,4,14,20,2022
3089,ANDHRA PRADESH,27,28,5.75,7.27,1640,2740,2.3,2.3,8.74,9.81,3,3,39,64,2022
3090,ANDHRA PRADESH,26,27,7.63,7.75,1167,1725,2.1,2.1,9.15,9.84,3,3,39,43,2022
3091,ANDHRA PRADESH,22,27,7.26,7.31,3290,3780,2.1,2.2,9.75,11.85,3,11,75,150,2022
3092,ANDHRA PRADESH,24,30,7.42,8.03,1014,1389,2.2,2.2,7.94,8.71,3,4,21,64,2022
3093,ANDHRA PRADESH,25,25,7.53,8.21,1156,1390,1.9,1.9,5.62,8.54,3,4,39,64,2022
1533,ASSAM,22,27,6.9,7.2,308,313,2.4,2.5,0.8,1,,,,,2022
1534,ASSAM,26,26,7,7,268,268,2.5,2.5,1.4,1.4,,,,,2022
1535,ASSAM,20,26,6.8,7,295,298,2.3,2.4,0.8,0.9,,,,,2022
1536,ASSAM,22,24,6.9,7.2,378,385,2.5,2.6,0.8,1,360,360,910,910,2022
1537,ASSAM,18,26,6.9,7.8,274,366,2.4,2.6,0.8,0.9,,,,,2022
1538,ASSAM,24,24,6.8,6.8,126,126,2,2,1,1,,,,,2022
1539,ASSAM,29,29,7.6,7.6,166,166,2.5,2.5,0.9,0.9,,,,,2022
1540,ASSAM,27,30,6.8,6.9,312,318,2.3,2.4,0.7,0.9,,,,,2022
1541,ASSAM,25,25,6.7,6.8,342,346,2.3,2.5,0.8,0.9,,,,,2022
1542,ASSAM,22,30,7.2,7.4,358,363,2.3,2.4,0.8,0.9,,,,,2022
2243,ASSAM,23,23,6.9,7.4,290,295,2.3,2.4,0.9,1,,,,,2022
2244,ASSAM,20,25,6.9,7.1,356,362,2.4,2.6,0.9,1.1,,,,,2022
2245,ASSAM,25,26,6.8,6.9,214,220,2.4,2.6,0.8,0.9,,,,,2022
2246,ASSAM,23,23,7.1,7.1,196,196,2.6,2.6,1.2,1.2,,,,,2022
2247,ASSAM,23,23,7,7,264,264,2.5,2.5,1.4,1.4,,,,,2022
2248,ASSAM,22,26,7.6,7.7,258,262,2.4,2.6,0.7,0.9,,,,,2022
2249,ASSAM,26,26,6.8,7,280,280,2.1,2.6,0.8,1.4,,,,,2022
2250,ASSAM,24,24,6.9,7.1,320,324,2.5,2.6,0.9,1,,,,,2022
2252,ASSAM,22,27,7.1,7.6,392,398,2.7,2.8,1,1.1,,,,,2022
2253,ASSAM,19,20,7,7.2,340,344,2.5,2.6,0.9,2.5,,,,,2022
2254,ASSAM,32,32,7.4,7.4,158,158,2.6,2.6,0.9,0.9,,,,,2022
2255,ASSAM,26,30,6.8,7,310,347,2.5,2.6,0.8,0.9,,,,,2022
2256,ASSAM,25,30,6.9,7.7,342,348,2.4,2.5,0.8,1,,,,,2022
2257,ASSAM,24,29,6.8,7.2,316,342,2.4,2.6,0.8,0.9,,,,,2022
2258,ASSAM,27,31,6.8,6.9,332,336,2.3,2.4,1,1.1,,,,,2022
2262,ASSAM,22,24,6.8,6.9,126,132,2.5,2.6,1,1.1,,,,,2022
2263,ASSAM,24,24,6.9,7,182,186,2.2,2.3,0.8,0.9,,,,,2022
2264,ASSAM,22,23,6.8,7.2,152,156,2.4,2.7,0.8,0.9,,,,,2022
1826,BIHAR,28,30,7.2,7.3,418,423,,,,,79,79,130,130,2022
1827,BIHAR,19,22,7.08,7.28,436,514,,,,,33,920,49,1600,2022
1829,BIHAR,21,30,7.25,7.46,465,502,,,,,,,,,2022
1830,BIHAR,27,29,7.1,7.2,1016,1030,,,0.31,0.31,130,130,150,150,2022
1831,BIHAR,27,29,6.9,6.96,1020,1070,,,,,170,350,280,1600,2022
1840,BIHAR,23,30,7.06,7.3,856,1060,,,,,13,13,23,23,2022
2595,BIHAR,27,28,7.25,7.38,935,1310,,,0.51,0.78,17,280,49,350,2022
2600,BIHAR,22,29,7.22,7.49,976,1130,,,1.24,2.31,79,79,240,240,2022
3140,BIHAR,22,30,7.02,7.23,361,411,,,,,13,13,49,49,2022
3150,BIHAR,24,25,7.24,7.39,667,803,,,1.66,1.79,4.5,4.5,13,13,2022
3152,BIHAR,22,29,6.94,7.12,238,248,,,,,23,23,33,33,2022
3159,BIHAR,19,25,7,7.28,689,721,,,1.28,1.8,,,2,2,2022
2043,CHANDIGARH,28,28,7.6,7.6,948,948,,,1.7,1.7,,,79,79,2022
2044,CHANDIGARH,27,28,7,7,689,968,,,3.7,4.5,,,27,49,2022
2045,CHANDIGARH,27,28,7.1,7.4,599,859,1.1,1.2,4.7,4.9,,,33,41,2022
3171,CHHATTISGARH,24,28,7.21,7.52,1425,1425,3,8,0.1,40,40,40,34,34,2022
